symboling,fuel Type,driveWheels,wheelBase,length,width,height,curbWeight,engineType,engineSize,fuelSystem,bore,stroke,compression-ratio,horsepower,peakRpm,price
3,gas,rwd,88.6,168.8,64.1,48.8,2548,dohc,130,mpfi,3.47,2.68,9,111,5000,13495
3,gas,rwd,88.6,168.8,64.1,48.8,2548,dohc,130,mpfi,3.47,2.68,9,111,5000,16500
1,gas,rwd,94.5,171.2,65.5,52.4,2823,ohcv,152,mpfi,2.68,3.47,9,154,5000,16500
2,gas,fwd,99.8,176.6,66.2,54.3,2337,ohc,109,mpfi,3.19,3.4,10,102,5500,13950
2,gas,4wd,99.4,176.6,66.4,54.3,2824,ohc,136,mpfi,3.19,3.4,8,115,5500,17450
2,gas,fwd,99.8,177.3,66.3,53.1,2507,ohc,136,mpfi,3.19,3.4,8.5,110,5500,15250
1,gas,fwd,105.8,192.7,71.4,55.7,2844,ohc,136,mpfi,3.19,3.4,8.5,110,5500,17710
1,gas,fwd,105.8,192.7,71.4,55.7,2954,ohc,136,mpfi,3.19,3.4,8.5,110,5500,18920
1,gas,fwd,105.8,192.7,71.4,55.9,3086,ohc,131,mpfi,3.13,3.4,8.3,140,5500,23875
0,gas,4wd,99.5,178.2,67.9,52,3053,ohc,131,mpfi,3.13,3.4,7,160,5500,0
2,gas,rwd,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.5,2.8,8.8,101,5800,16430
0,gas,rwd,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.5,2.8,8.8,101,5800,16925
0,gas,rwd,101.2,176.8,64.8,54.3,2710,ohc,164,mpfi,3.31,3.19,9,121,4250,20970
0,gas,rwd,101.2,176.8,64.8,54.3,2765,ohc,164,mpfi,3.31,3.19,9,121,4250,21105
1,gas,rwd,103.5,189,66.9,55.7,3055,ohc,164,mpfi,3.31,3.19,9,121,4250,24565
0,gas,rwd,103.5,189,66.9,55.7,3230,ohc,209,mpfi,3.62,3.39,8,182,5400,30760
0,gas,rwd,103.5,193.8,67.9,53.7,3380,ohc,209,mpfi,3.62,3.39,8,182,5400,41315
0,gas,rwd,110,197,70.9,56.3,3505,ohc,209,mpfi,3.62,3.39,8,182,5400,36880
2,gas,fwd,88.4,141.1,60.3,53.2,1488,l,61,2bbl,2.91,3.03,9.5,48,5100,5151
1,gas,fwd,94.5,155.9,63.6,52,1874,ohc,90,2bbl,3.03,3.11,9.6,70,5400,6295
0,gas,fwd,94.5,158.8,63.6,52,1909,ohc,90,2bbl,3.03,3.11,9.6,70,5400,6575
1,gas,fwd,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.41,68,5500,5572
1,gas,fwd,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.4,68,5500,6377
1,gas,fwd,93.7,157.3,63.8,50.8,2128,ohc,98,mpfi,3.03,3.39,7.6,102,5500,7957
1,gas,fwd,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,2.97,3.23,9.4,68,5500,6229
1,gas,fwd,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,6692
1,gas,fwd,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,7609
1,gas,fwd,93.7,157.3,63.8,50.6,2191,ohc,98,mpfi,3.03,3.39,7.6,102,5500,8558
-1,gas,fwd,103.3,174.6,64.6,59.8,2535,ohc,122,2bbl,3.34,3.46,8.5,88,5000,8921
3,gas,fwd,95.9,173.2,66.3,50.2,2811,ohc,156,mfi,3.6,3.9,7,145,5000,12964
2,gas,fwd,86.6,144.6,63.9,50.8,1713,ohc,92,1bbl,2.91,3.41,9.6,58,4800,6479
2,gas,fwd,86.6,144.6,63.9,50.8,1819,ohc,92,1bbl,2.91,3.41,9.2,76,6000,6855
1,gas,fwd,93.7,150,64,52.6,1837,ohc,79,1bbl,2.91,3.07,10.1,60,5500,5399
1,gas,fwd,93.7,150,64,52.6,1940,ohc,92,1bbl,2.91,3.41,9.2,76,6000,6529
1,gas,fwd,93.7,150,64,52.6,1956,ohc,92,1bbl,2.91,3.41,9.2,76,6000,7129
0,gas,fwd,96.5,163.4,64,54.5,2010,ohc,92,1bbl,2.91,3.41,9.2,76,6000,7295
0,gas,fwd,96.5,157.1,63.9,58.3,2024,ohc,92,1bbl,2.92,3.41,9.2,76,6000,7295
0,gas,fwd,96.5,167.5,65.2,53.3,2236,ohc,110,1bbl,3.15,3.58,9,86,5800,7895
0,gas,fwd,96.5,167.5,65.2,53.3,2289,ohc,110,1bbl,3.15,3.58,9,86,5800,9095
0,gas,fwd,96.5,175.4,65.2,54.1,2304,ohc,110,1bbl,3.15,3.58,9,86,5800,8845
0,gas,fwd,96.5,175.4,62.5,54.1,2372,ohc,110,1bbl,3.15,3.58,9,86,5800,10295
0,gas,fwd,96.5,175.4,65.2,54.1,2465,ohc,110,mpfi,3.15,3.58,9,101,5800,12945
1,gas,fwd,96.5,169.1,66,51,2293,ohc,110,2bbl,3.15,3.58,9.1,100,5500,10345
0,gas,rwd,94.3,170.7,61.8,53.5,2337,ohc,111,2bbl,3.31,3.23,8.5,78,4800,6785
1,gas,fwd,94.5,155.9,63.6,52,1874,ohc,90,2bbl,3.03,3.11,9.6,70,5400,0
0,gas,fwd,94.5,155.9,63.6,52,1909,ohc,90,2bbl,3.03,3.11,9.6,70,5400,0
2,gas,rwd,96,172.6,65.2,51.4,2734,ohc,119,spfi,3.43,3.23,9.2,90,5000,11048
0,gas,rwd,113,199.6,69.6,52.8,4066,dohc,258,mpfi,3.63,4.17,8.1,176,4750,32250
0,gas,rwd,113,199.6,69.6,52.8,4066,dohc,258,mpfi,3.63,4.17,8.1,176,4750,35550
0,gas,rwd,102,191.7,70.6,47.8,3950,ohcv,326,mpfi,3.54,2.76,11.5,262,5000,36000
1,gas,fwd,93.1,159.1,64.2,54.1,1890,ohc,91,2bbl,3.03,3.15,9,68,5000,5195
1,gas,fwd,93.1,159.1,64.2,54.1,1900,ohc,91,2bbl,3.03,3.15,9,68,5000,6095
1,gas,fwd,93.1,159.1,64.2,54.1,1905,ohc,91,2bbl,3.03,3.15,9,68,5000,6795
1,gas,fwd,93.1,166.8,64.2,54.1,1945,ohc,91,2bbl,3.03,3.15,9,68,5000,6695
1,gas,fwd,93.1,166.8,64.2,54.1,1950,ohc,91,2bbl,3.08,3.15,9,68,5000,7395
3,gas,rwd,95.3,169,65.7,49.6,2380,rotor,70,4bbl,0,0,9.4,101,6000,10945
3,gas,rwd,95.3,169,65.7,49.6,2380,rotor,70,4bbl,0,0,9.4,101,6000,11845
3,gas,rwd,95.3,169,65.7,49.6,2385,rotor,70,4bbl,0,0,9.4,101,6000,13645
3,gas,rwd,95.3,169,65.7,49.6,2500,rotor,80,mpfi,0,0,9.4,135,6000,15645
1,gas,fwd,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,3.39,8.6,84,4800,8845
0,gas,fwd,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,3.39,8.6,84,4800,8495
1,gas,fwd,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,3.39,8.6,84,4800,10595
0,gas,fwd,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,3.39,8.6,84,4800,10245
0,diesel,fwd,98.8,177.8,66.5,55.5,2443,ohc,122,idi,3.39,3.39,22.7,64,4650,10795
0,gas,fwd,98.8,177.8,66.5,55.5,2425,ohc,122,2bbl,3.39,3.39,8.6,84,4800,11245
0,gas,rwd,104.9,175,66.1,54.4,2670,ohc,140,mpfi,3.76,3.16,8,120,5000,18280
0,diesel,rwd,104.9,175,66.1,54.4,2700,ohc,134,idi,3.43,3.64,22,72,4200,18344
-1,diesel,rwd,110,190.9,70.3,56.5,3515,ohc,183,idi,3.58,3.64,21.5,123,4350,25552
-1,diesel,rwd,110,190.9,70.3,58.7,3750,ohc,183,idi,3.58,3.64,21.5,123,4350,28248
0,diesel,rwd,106.7,187.5,70.3,54.9,3495,ohc,183,idi,3.58,3.64,21.5,123,4350,28176
-1,diesel,rwd,115.6,202.6,71.7,56.3,3770,ohc,183,idi,3.58,3.64,21.5,123,4350,31600
-1,gas,rwd,115.6,202.6,71.7,56.5,3740,ohcv,234,mpfi,3.46,3.1,8.3,155,4750,34184
3,gas,rwd,96.6,180.3,70.5,50.8,3685,ohcv,234,mpfi,3.46,3.1,8.3,155,4750,35056
0,gas,rwd,120.9,208.1,71.7,56.7,3900,ohcv,308,mpfi,3.8,3.35,8,184,4500,40960
1,gas,rwd,112,199.2,72,55.4,3715,ohcv,304,mpfi,3.8,3.35,8,184,4500,45400
1,gas,rwd,102.7,178.4,68,54.8,2910,ohc,140,mpfi,3.78,3.12,8,175,5000,16503
2,gas,fwd,93.7,157.3,64.4,50.8,1918,ohc,92,2bbl,2.97,3.23,9.4,68,5500,5389
2,gas,fwd,93.7,157.3,64.4,50.8,1944,ohc,92,2bbl,2.97,3.23,9.4,68,5500,6189
2,gas,fwd,93.7,157.3,64.4,50.8,2004,ohc,92,2bbl,2.97,3.23,9.4,68,5500,6669
1,gas,fwd,93,157.3,63.8,50.8,2145,ohc,98,spdi,3.03,3.39,7.6,102,5500,7689
3,gas,fwd,96.3,173,65.4,49.4,2370,ohc,110,spdi,3.17,3.46,7.5,116,5500,9959
3,gas,fwd,96.3,173,65.4,49.4,2328,ohc,122,2bbl,3.35,3.46,8.5,88,5000,8499
3,gas,fwd,95.9,173.2,66.3,50.2,2833,ohc,156,spdi,3.58,3.86,7,145,5000,12629
3,gas,fwd,95.9,173.2,66.3,50.2,2921,ohc,156,spdi,3.59,3.86,7,145,5000,14869
3,gas,fwd,95.9,173.2,66.3,50.2,2926,ohc,156,spdi,3.59,3.86,7,145,5000,14489
1,gas,fwd,96.3,172.4,65.4,51.6,2365,ohc,122,2bbl,3.35,3.46,8.5,88,5000,6989
1,gas,fwd,96.3,172.4,65.4,51.6,2405,ohc,122,2bbl,3.35,3.46,8.5,88,5000,8189
1,gas,fwd,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.17,3.46,7.5,116,5500,9279
-1,gas,fwd,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.17,3.46,7.5,116,5500,9279
1,gas,fwd,94.5,165.3,63.8,54.5,1889,ohc,97,2bbl,3.15,3.29,9.4,69,5200,5499
1,diesel,fwd,94.5,165.3,63.8,54.5,2017,ohc,103,idi,2.99,3.47,21.9,55,4800,7099
1,gas,fwd,94.5,165.3,63.8,54.5,1918,ohc,97,2bbl,3.15,3.29,9.4,69,5200,6649
1,gas,fwd,94.5,165.3,63.8,54.5,1938,ohc,97,2bbl,3.15,3.29,9.4,69,5200,6849
1,gas,fwd,94.5,170.2,63.8,53.5,2024,ohc,97,2bbl,3.15,3.29,9.4,69,5200,7349
1,gas,fwd,94.5,165.3,63.8,54.5,1951,ohc,97,2bbl,3.15,3.29,9.4,69,5200,7299
1,gas,fwd,94.5,165.6,63.8,53.3,2028,ohc,97,2bbl,3.15,3.29,9.4,69,5200,7799
1,gas,fwd,94.5,165.3,63.8,54.5,1971,ohc,97,2bbl,3.15,3.29,9.4,69,5200,7499
1,gas,fwd,94.5,170.2,63.8,53.5,2037,ohc,97,2bbl,3.15,3.29,9.4,69,5200,7999
2,gas,fwd,95.1,162.4,63.8,53.3,2008,ohc,97,2bbl,3.15,3.29,9.4,69,5200,8249
0,gas,fwd,97.2,173.4,65.2,54.7,2324,ohc,120,2bbl,3.33,3.47,8.5,97,5200,8949
0,gas,fwd,97.2,173.4,65.2,54.7,2302,ohc,120,2bbl,3.33,3.47,8.5,97,5200,9549
0,gas,fwd,100.4,181.7,66.5,55.1,3095,ohcv,181,mpfi,3.43,3.27,9,152,5200,13499
0,gas,fwd,100.4,184.6,66.5,56.1,3296,ohcv,181,mpfi,3.43,3.27,9,152,5200,14399
0,gas,fwd,100.4,184.6,66.5,55.1,3060,ohcv,181,mpfi,3.43,3.27,9,152,5200,13499
3,gas,rwd,91.3,170.7,67.9,49.7,3071,ohcv,181,mpfi,3.43,3.27,9,160,5200,17199
3,gas,rwd,91.3,170.7,67.9,49.7,3139,ohcv,181,mpfi,3.43,3.27,7.8,200,5200,19699
1,gas,rwd,99.2,178.5,67.9,49.7,3139,ohcv,181,mpfi,3.43,3.27,9,160,5200,18399
0,gas,rwd,107.9,186.7,68.4,56.7,3020,l,120,mpfi,3.46,3.19,8.4,97,5000,11900
0,diesel,rwd,107.9,186.7,68.4,56.7,3197,l,152,idi,3.7,3.52,21,95,4150,13200
0,gas,rwd,114.2,198.9,68.4,58.7,3230,l,120,mpfi,3.46,3.19,8.4,97,5000,12440
0,diesel,rwd,114.2,198.9,68.4,58.7,3430,l,152,idi,3.7,3.52,21,95,4150,13860
0,gas,rwd,107.9,186.7,68.4,56.7,3075,l,120,mpfi,3.46,2.19,8.4,95,5000,15580
0,diesel,rwd,107.9,186.7,68.4,56.7,3252,l,152,idi,3.7,3.52,21,95,4150,16900
0,gas,rwd,114.2,198.9,68.4,56.7,3285,l,120,mpfi,3.46,2.19,8.4,95,5000,16695
0,diesel,rwd,114.2,198.9,68.4,58.7,3485,l,152,idi,3.7,3.52,21,95,4150,17075
0,gas,rwd,107.9,186.7,68.4,56.7,3075,l,120,mpfi,3.46,3.19,8.4,97,5000,16630
0,diesel,rwd,107.9,186.7,68.4,56.7,3252,l,152,idi,3.7,3.52,21,95,4150,17950
0,gas,rwd,108,186.7,68.3,56,3130,l,134,mpfi,3.61,3.21,7,142,5600,18150
1,gas,fwd,93.7,157.3,63.8,50.8,1918,ohc,90,2bbl,2.97,3.23,9.4,68,5500,5572
1,gas,fwd,93.7,157.3,63.8,50.8,2128,ohc,98,spdi,3.03,3.39,7.6,102,5500,7957
1,gas,fwd,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,2.97,3.23,9.4,68,5500,6229
1,gas,fwd,93.7,167.3,63.8,50.8,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,6692
1,gas,fwd,93.7,167.3,63.8,50.8,2191,ohc,98,2bbl,2.97,3.23,9.4,68,5500,7609
-1,gas,fwd,103.3,174.6,64.6,59.8,2535,ohc,122,2bbl,3.35,3.46,8.5,88,5000,8921
3,gas,rwd,95.9,173.2,66.3,50.2,2818,ohc,156,spdi,3.59,3.86,7,145,5000,12764
3,gas,rwd,94.5,168.9,68.3,50.2,2778,ohc,151,mpfi,3.94,3.11,9.5,143,5500,22018
3,gas,rwd,89.5,168.9,65,51.6,2756,ohcf,194,mpfi,3.74,2.9,9.5,207,5900,32528
3,gas,rwd,89.5,168.9,65,51.6,2756,ohcf,194,mpfi,3.74,2.9,9.5,207,5900,34028
3,gas,rwd,89.5,168.9,65,51.6,2800,ohcf,194,mpfi,3.74,2.9,9.5,207,5900,37028
1,gas,rwd,98.4,175.7,72.3,50.5,3366,dohcv,203,mpfi,3.94,3.11,10,288,5750,0
0,gas,fwd,96.1,181.5,66.5,55.2,2579,ohc,132,mpfi,3.46,3.9,8.7,0,0,9295
2,gas,fwd,96.1,176.8,66.6,50.5,2460,ohc,132,mpfi,3.46,3.9,8.7,0,0,9895
3,gas,fwd,99.1,186.6,66.5,56.1,2658,ohc,121,mpfi,3.54,3.07,9.31,110,5250,11850
2,gas,fwd,99.1,186.6,66.5,56.1,2695,ohc,121,mpfi,3.54,3.07,9.3,110,5250,12170
3,gas,fwd,99.1,186.6,66.5,56.1,2707,ohc,121,mpfi,2.54,2.07,9.3,110,5250,15040
2,gas,fwd,99.1,186.6,66.5,56.1,2758,ohc,121,mpfi,3.54,3.07,9.3,110,5250,15510
3,gas,fwd,99.1,186.6,66.5,56.1,2808,dohc,121,mpfi,3.54,3.07,9,160,5500,18150
2,gas,fwd,99.1,186.6,66.5,56.1,2847,dohc,121,mpfi,3.54,3.07,9,160,5500,18620
2,gas,fwd,93.7,156.9,63.4,53.7,2050,ohcf,97,2bbl,3.62,2.36,9,69,4900,5118
2,gas,fwd,93.7,157.9,63.6,53.7,2120,ohcf,108,2bbl,3.62,2.64,8.7,73,4400,7053
2,gas,4wd,93.3,157.3,63.8,55.7,2240,ohcf,108,2bbl,3.62,2.64,8.7,73,4400,7603
0,gas,fwd,97.2,172,65.4,52.5,2145,ohcf,108,2bbl,3.62,2.64,9.5,82,4800,7126
0,gas,fwd,97.2,172,65.4,52.5,2190,ohcf,108,2bbl,3.62,2.64,9.5,82,4400,7775
0,gas,fwd,97.2,172,65.4,52.5,2340,ohcf,108,mpfi,3.62,2.64,9,94,5200,9960
0,gas,4wd,97,172,65.4,54.3,2385,ohcf,108,2bbl,3.62,2.64,9,82,4800,9233
0,gas,4wd,97,172,65.4,54.3,2510,ohcf,108,mpfi,3.62,2.64,7.7,111,4800,11259
0,gas,fwd,97,173.5,65.4,53,2290,ohcf,108,2bbl,3.62,2.64,9,82,4800,7463
0,gas,fwd,97,173.5,65.4,53,2455,ohcf,108,mpfi,3.62,2.64,9,94,5200,10198
0,gas,4wd,96.9,173.6,65.4,54.9,2420,ohcf,108,2bbl,3.62,2.64,9,82,4800,8013
0,gas,4wd,96.9,173.6,65.4,54.9,2650,ohcf,108,mpfi,3.62,2.64,7.7,111,4800,11694
1,gas,fwd,95.7,158.7,63.6,54.5,1985,ohc,92,2bbl,3.05,3.03,9,62,4800,5348
1,gas,fwd,95.7,158.7,63.6,54.5,2040,ohc,92,2bbl,3.05,3.03,9,62,4800,6338
1,gas,fwd,95.7,158.7,63.6,54.5,2015,ohc,92,2bbl,3.05,3.03,9,62,4800,6488
0,gas,fwd,95.7,169.7,63.6,59.1,2280,ohc,92,2bbl,3.05,3.03,9,62,4800,6918
0,gas,4wd,95.7,169.7,63.6,59.1,2290,ohc,92,2bbl,3.05,3.03,9,62,4800,7898
0,gas,4wd,95.7,169.7,63.6,59.1,3110,ohc,92,2bbl,3.05,3.03,9,62,4800,8778
0,gas,fwd,95.7,166.3,64.4,53,2081,ohc,98,2bbl,3.19,3.03,9,70,4800,6938
0,gas,fwd,95.7,166.3,64.4,52.8,2109,ohc,98,2bbl,3.19,3.03,9,70,4800,7198
0,diesel,fwd,95.7,166.3,64.4,53,2275,ohc,110,idi,3.27,3.35,22.5,56,4500,7898
0,diesel,fwd,95.7,166.3,64.4,52.8,2275,ohc,110,idi,3.27,3.35,22.5,56,4500,7788
0,gas,fwd,95.7,166.3,64.4,53,2094,ohc,98,2bbl,3.19,3.03,9,70,4800,7738
0,gas,fwd,95.7,166.3,64.4,52.8,2122,ohc,98,2bbl,3.19,3.03,9,70,4800,8358
0,gas,fwd,95.7,166.3,64.4,52.8,2140,ohc,98,2bbl,3.19,3.03,9,70,4800,9258
1,gas,rwd,94.5,168.7,64,52.6,2169,ohc,98,2bbl,3.19,3.03,9,70,4800,8058
1,gas,rwd,94.5,168.7,64,52.6,2204,ohc,98,2bbl,3.19,3.03,9,70,4800,8238
1,gas,rwd,94.5,168.7,64,52.6,2265,dohc,98,mpfi,3.24,3.08,9.4,112,6600,9298
1,gas,rwd,94.5,168.7,64,52.6,2300,dohc,98,mpfi,3.24,3.08,9.4,112,6600,9538
2,gas,rwd,98.4,176.2,65.6,52,2540,ohc,146,mpfi,3.62,3.5,9.3,116,4800,8449
2,gas,rwd,98.4,176.2,65.6,52,2536,ohc,146,mpfi,3.62,3.5,9.3,116,4800,9639
2,gas,rwd,98.4,176.2,65.6,52,2551,ohc,146,mpfi,3.62,3.5,9.3,116,4800,9989
2,gas,rwd,98.4,176.2,65.6,52,2679,ohc,146,mpfi,3.62,3.5,9.3,116,4800,11199
2,gas,rwd,98.4,176.2,65.6,52,2714,ohc,146,mpfi,3.62,3.5,9.3,116,4800,11549
2,gas,rwd,98.4,176.2,65.6,53,2975,ohc,146,mpfi,3.62,3.5,9.3,116,4800,17669
-1,gas,fwd,102.4,175.6,66.5,54.9,2326,ohc,122,mpfi,3.31,3.54,8.7,92,4200,8948
-1,diesel,fwd,102.4,175.6,66.5,54.9,2480,ohc,110,idi,3.27,3.35,22.5,73,4500,10698
-1,gas,fwd,102.4,175.6,66.5,53.9,2414,ohc,122,mpfi,3.31,3.54,8.7,92,4200,9988
-1,gas,fwd,102.4,175.6,66.5,54.9,2414,ohc,122,mpfi,3.31,3.54,8.7,92,4200,10898
-1,gas,fwd,102.4,175.6,66.5,53.9,2458,ohc,122,mpfi,3.31,3.54,8.7,92,4200,11248
3,gas,rwd,102.9,183.5,67.7,52,2976,dohc,171,mpfi,3.27,3.35,9.3,161,5200,16558
3,gas,rwd,102.9,183.5,67.7,52,3016,dohc,171,mpfi,3.27,3.35,9.3,161,5200,15998
-1,gas,rwd,104.5,187.8,66.5,54.1,3131,dohc,171,mpfi,3.27,3.35,9.2,156,5200,15690
-1,gas,rwd,104.5,187.8,66.5,54.1,3151,dohc,161,mpfi,3.27,3.35,9.2,156,5200,15750
2,diesel,fwd,97.3,171.7,65.5,55.7,2261,ohc,97,idi,3.01,3.4,23,52,4800,7775
2,gas,fwd,97.3,171.7,65.5,55.7,2209,ohc,109,mpfi,3.19,3.4,9,85,5250,7975
2,diesel,fwd,97.3,171.7,65.5,55.7,2264,ohc,97,idi,3.01,3.4,23,52,4800,7995
2,gas,fwd,97.3,171.7,65.5,55.7,2212,ohc,109,mpfi,3.19,3.4,9,85,5250,8195
2,gas,fwd,97.3,171.7,65.5,55.7,2275,ohc,109,mpfi,3.19,3.4,9,85,5250,8495
2,diesel,fwd,97.3,171.7,65.5,55.7,2319,ohc,97,idi,3.01,3.4,23,68,4500,9495
2,gas,fwd,97.3,171.7,65.5,55.7,2300,ohc,109,mpfi,3.19,3.4,10,100,5500,9995
3,gas,fwd,94.5,159.3,64.2,55.6,2254,ohc,109,mpfi,3.19,3.4,8.5,90,5500,11595
3,gas,fwd,94.5,165.7,64,51.4,2221,ohc,109,mpfi,3.19,3.4,8.5,90,5500,9980
0,gas,fwd,100.4,180.2,66.9,55.1,2661,ohc,136,mpfi,3.19,3.4,8.5,110,5500,13295
0,diesel,fwd,100.4,180.2,66.9,55.1,2579,ohc,97,idi,3.01,3.4,23,68,4500,13845
0,gas,fwd,100.4,183.1,66.9,55.1,2563,ohc,109,mpfi,3.19,3.4,9,88,5500,12290
-2,gas,rwd,104.3,188.8,67.2,56.2,2912,ohc,141,mpfi,3.78,3.15,9.5,114,5400,12940
-1,gas,rwd,104.3,188.8,67.2,57.5,3034,ohc,141,mpfi,3.78,3.15,9.5,114,5400,13415
-2,gas,rwd,104.3,188.8,67.2,56.2,2935,ohc,141,mpfi,3.78,3.15,9.5,114,5400,15985
-1,gas,rwd,104.3,188.8,67.2,57.5,3042,ohc,141,mpfi,3.78,3.15,9.5,114,5400,16515
-2,gas,rwd,104.3,188.8,67.2,56.2,3045,ohc,130,mpfi,3.62,3.15,7.5,162,5100,18420
-1,gas,rwd,104.3,188.8,67.2,57.5,3157,ohc,130,mpfi,3.62,3.15,7.5,162,5100,18950
-1,gas,rwd,109.1,188.8,68.9,55.5,2952,ohc,141,mpfi,3.78,3.15,9.5,114,5400,16845
-1,gas,rwd,109.1,188.8,68.8,55.5,3049,ohc,141,mpfi,3.78,3.15,8.7,160,5300,19045
-1,gas,rwd,109.1,188.8,68.9,55.5,3012,ohcv,173,mpfi,3.58,2.87,8.8,134,5500,21485
-1,diesel,rwd,109.1,188.8,68.9,55.5,3217,ohc,145,idi,3.01,3.4,23,106,4800,22470
-1,gas,rwd,109.1,188.8,68.9,55.5,3062,ohc,141,mpfi,3.78,3.15,9.5,114,5400,22625
